,p,Trajectory Length,FDG Length,FG Length,Cells Processed
0,0.07,217,201,201,59473
0,0.07,209,201,201,69719
0,0.07,209,201,201,43763
0,0.07,215,201,201,66463
0,0.07,223,201,201,69843
0,0.07,209,201,201,38756
0,0.07,205,201,201,50527
0,0.07,205,201,201,15418
0,0.07,219,201,201,47437
0,0.07,229,201,201,42474
0,0.07,207,201,201,55941
0,0.07,213,201,201,38799
0,0.07,219,201,201,41435
0,0.07,233,201,201,37792
0,0.07,217,201,201,40539
0,0.07,213,201,201,43261
0,0.07,225,201,201,82833
0,0.07,213,201,201,37069
0,0.07,225,201,201,61175
0,0.07,225,201,201,42590
0,0.07,223,201,201,60676
0,0.07,209,201,201,25003
0,0.07,215,201,201,41513
0,0.07,209,201,201,62978
0,0.07,211,201,201,63648
0,0.07,225,201,201,37746
0,0.07,213,201,201,64826
0,0.07,217,201,201,19872
0,0.07,225,201,201,29553
0,0.07,205,201,201,35528
0,0.07,221,201,201,30580
0,0.07,215,201,201,54508
0,0.07,231,201,201,70035
0,0.07,215,201,201,32265
0,0.07,215,201,201,38423
0,0.07,225,201,201,54218
0,0.07,217,201,201,38149
0,0.07,213,201,201,32973
0,0.07,219,201,201,53681
0,0.07,215,201,201,73071
0,0.07,215,201,201,59509
0,0.07,231,201,201,61883
0,0.07,211,201,201,43378
0,0.07,217,201,201,57760
0,0.07,215,201,201,41072
0,0.07,215,201,201,41627
0,0.07,215,201,201,38482
0,0.07,213,201,201,67309
0,0.07,221,201,201,62727
0,0.07,229,201,201,69326
0,0.08,211,201,201,77924
0,0.08,231,201,201,72592
0,0.08,231,201,201,57322
0,0.08,227,201,201,35957
0,0.08,209,201,201,49034
0,0.08,223,201,201,63073
0,0.08,239,201,201,76074
0,0.08,221,201,201,42361
0,0.08,223,201,201,83566
0,0.08,211,201,201,40932
0,0.08,217,201,201,66868
0,0.08,241,201,201,62780
0,0.08,219,201,201,36624
0,0.08,211,201,201,37067
0,0.08,213,201,201,49659
0,0.08,221,201,201,55281
0,0.08,211,201,201,49898
0,0.08,215,201,201,66024
0,0.08,223,201,201,62104
0,0.08,215,201,201,49097
0,0.08,213,201,201,34369
0,0.08,223,201,201,71176
0,0.08,209,201,201,39222
0,0.08,217,201,201,75062
0,0.08,219,201,201,63147
0,0.08,227,201,201,49852
0,0.08,213,201,201,29489
0,0.08,217,201,201,49120
0,0.08,211,201,201,50898
0,0.08,215,201,201,63770
0,0.08,213,201,201,72888
0,0.08,217,201,201,23456
0,0.08,221,201,201,34219
0,0.08,219,201,201,44975
0,0.08,227,201,201,31714
0,0.08,213,201,201,46125
0,0.08,217,201,201,77812
0,0.08,215,201,201,67685
0,0.08,223,201,201,72134
0,0.08,213,201,201,62471
0,0.08,211,201,201,55988
0,0.08,213,201,201,27387
0,0.08,225,201,201,44567
0,0.08,225,201,201,57665
0,0.08,227,201,201,49020
0,0.08,223,201,201,52322
0,0.08,219,201,201,57688
0,0.08,209,201,201,46193
0,0.08,233,201,201,61429
0,0.08,215,201,201,72568
0,0.08,239,201,201,52978
0,0.08,223,201,201,62541
0,0.08,219,201,201,94816
0,0.08,219,201,201,42842
0,0.08,221,201,201,25891
0,0.08,223,201,201,91396
0,0.08,211,201,201,75529
0,0.08,221,201,201,103405
0,0.08,217,201,201,56754
0,0.08,229,201,201,38281
0,0.08,237,201,201,41209
0,0.08,227,201,201,64089
0,0.08,221,201,201,44180
0,0.08,217,201,201,65486
0,0.08,213,201,201,36072
0,0.08,225,201,201,56031
0,0.08,225,201,201,52200
0,0.08,213,201,201,67461
0,0.08,231,201,201,34760
0,0.08,217,201,201,65290
0,0.08,219,201,201,25794
0,0.08,215,201,201,27741
0,0.08,239,201,201,80184
0,0.08,223,201,201,57095
0,0.08,221,201,201,59663
0,0.08,217,201,201,86923
0,0.08,213,201,201,62410
0,0.08,221,201,201,64425
0,0.08,213,201,201,47292
0,0.08,233,201,201,65701
0,0.08,207,201,201,51659
0,0.08,217,201,201,52752
0,0.08,229,201,201,76168
0,0.08,227,201,201,46505
0,0.08,227,201,201,54654
0,0.08,227,201,201,53259
0,0.08,225,201,201,55558
0,0.08,217,201,201,64411
0,0.08,225,201,201,78144
0,0.08,229,201,201,63811
0,0.08,225,201,201,61221
0,0.08,219,201,201,50214
0,0.08,223,201,201,48208
0,0.08,217,201,201,42818
0,0.08,215,201,201,64632
0,0.08,217,201,201,44919
0,0.08,213,201,201,58294
0,0.08,223,201,201,23346
0,0.08,225,201,201,52399
